StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q131_1,Q131_2,Q131_3,Q131_4,Q131_8,Q21,Q133_11,Q133_3,Q133_1,Q133_2,Q133_4,Q133_5,Q133_6,Q133_7,Q133_8,Q133_13,Q133_14,Q133_9,Q133_10,Q133_12,Q22,Q138_1,Q138_2,Q138_3,Q138_4,Q138_5,Q23,General VR Interest,General VR Interest_2_TEXT,Q140,Q140_2_TEXT,Q143_24,Q142,Q26_2,Q26_1,Q26_4,Q26_3,Q27,Q144,Q23,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,Q145_7,Q145_8,Q24,Q185_1,Q185_2,Q185_3,Q185_8,Q185_4,Q185_5,Q185_6,Q185_7,Q186,Q146,Q147_1,Q149,Q150,Q153,Q19,Q151,Q154
2022-04-16 08:11:53,2022-04-16 09:22:29,IP Address,128.227.188.116,100,4235,True,2022-04-16 09:22:30,R_x6qnkPaNdr8Q3C1,,,,,29.6138,-82.386,anonymous,EN,2035,69,35,42,55,30,"I just felt like I was trying to finish the course because it was somewhat janky to walk on the treadmill, I didn't feel like I was moving naturally at all so my attention went to finishing the walk vs looking around. Even though I had unlimited time I did not want to slowly walk for a long time. It was a very fun experiment though!",20,40,0,90,50,50,50,0,0,0,0,30,55,35,"Not sure if it was my glasses or glare but the VR environment was blurry for most of the time but not to the point of not being able to read. As mentioned before, the steps felt super unnatural and I am usually a fast walker ~3mph and it did not feel good",100,75,35,40,30,just got tired and wanted to finish walking the course,No,1-2,Yes,,100,Yes,50,20,40,40,"I don't usually use a compass, I used to use the compass app on my phone sometimes but I also look for the sun if its setting and go from there",No,Yes,,,,,,,,,,50,0,60,0,0,0,55,30,I was trying to look for the mountain range the entire time but I could only see trees,Yes,15,after walking a lot,get a better way to walk more naturally vs gliding my feet and moving like a foot,exertion,i easily get car sick on long rides in the back seat but not the passenger seat,yes,no
2022-04-16 09:23:41,2022-04-16 11:30:13,IP Address,128.227.188.116,100,7591,True,2022-04-16 11:30:13,R_1dEoUMPTRb8Ojk1,,,,,29.6138,-82.386,anonymous,EN,2036,90,30,40,84,90,,61,68,58,36,57,44,44,5,0,0,0,16,55,56,,63,36,16,34,0,,Yes,,Yes,,30,No,48,20,24,50,,Yes,No,57,56,57,28,69,64,56,28,,,,,,,,,,,No,,,,,,Somewhat to the room but more to the virtual environment,
2022-04-16 11:31:09,2022-04-16 12:59:59,IP Address,128.227.188.116,100,5330,True,2022-04-16 13:00:00,R_2z78wMIU0nOU5AF,,,,,29.6138,-82.386,anonymous,EN,2037,82,29,62,66,20,i got dizzy focusing on the virtual reality,62,64,22,21,69,47,42,7,7,8,15,11,82,81,Just motion sickness,90,89,31,82,68,noy applicable.,No,1-2,Yes,,51,No,17,44,20,64,I am not experienced in using a compass at all.,No,Yes,,,,,,,,,,71,68,72,27,31,86,69,37,i did not.,Yes,60,"When i was walking ","drink water ",resulted from the virtual environment.,"yes ",yes,no
2022-04-16 13:00:36,2022-04-16 14:20:07,IP Address,128.227.188.116,100,4770,True,2022-04-16 14:20:08,R_3NEdJXPKGPgb1u2,,,,,29.6138,-82.386,anonymous,EN,2038,82,15,9,13,9,,46,64,51,48,58,46,47,22,14,18,18,39,63,80,,75,79,87,49,54,,No,1-2,Yes,,60,Yes,51,28,51,0,I understand how a compass works. I will most likely never use one. outdated technology.,No,Yes,,,,,,,,,,4,9,40,69,25,42,52,5,,No,,,,,,virtual envioronment,none
2022-04-16 14:20:53,2022-04-16 15:53:30,IP Address,128.227.188.116,100,5557,True,2022-04-16 15:53:31,R_3HodhXv6vZR4miv,,,,,29.6138,-82.386,anonymous,EN,2039,70,4,49,90,8,The walking was distracting,75,82,9,10,71,65,31,11,0,27,10,13,95,41,,92,29,8,0,8,,No,1-2,Yes,,56,Yes,8,3,0,2,I never use compasses,No,Yes,,,,,,,,,,32,32,28,67,41,44,67,4,,No,,,,,,I felt oriented to the virtual environment,no
2022-04-18 08:00:00,2022-04-18 08:29:47,IP Address,128.227.188.116,100,1787,True,2022-04-18 08:29:48,R_4Pdl2i4HgVc4JjP,,,,,29.6138,-82.386,anonymous,EN,2040,25,30,60,10,31,Just the experience of being in a virtual world seemed disorienting but still fun!,65,80,30,26,50,50,50,65,33,34,21,70,71,80,,90,30,59,20,60,,No,2,Yes,,80,Yes,0,0,0,4,I almost never use a compass on a daily basis as I have no need to. I mostly use things like Google Maps for navigation in my daily life.,No,Yes,,,,,,,,,,20,61,30,79,10,11,66,35,,No,,,,,,"The virtual environment, but I was still aware of the surroundings in the room","none, thank you!"
2022-04-18 08:30:33,2022-04-18 09:36:35,IP Address,128.227.188.116,100,3962,True,2022-04-18 09:36:36,R_22Qyl599F17Ue0D,,,,,29.6138,-82.386,anonymous,EN,2041,10,10,15,12,5,None,35,75,40,40,45,57,38,83,80,74,81,90,91,89,None,86,71,72,77,69,None,No,10,Yes,,92,Yes,66,27,37,7,"I am not very experienced using compasses, but I understand how it works and how to use it. I don't often thing about true north since it's not relevant in my life and mostly use relational directions for navigation.",Yes,No,65,19,79,38,60,75,76,66,I mostly used it to remember what parts of the map were facing north or where buildings were for the birds-eye view test.,,,,,,,,,,No,,,,,,Yes,"None, this was great"
2022-04-18 09:37:13,2022-04-18 12:02:59,IP Address,128.227.188.116,100,8746,True,2022-04-18 12:02:59,R_2YqYtdRItaSS2Md,,,,,29.6138,-82.386,anonymous,EN,2042,99,20,0,14,16,,46,83,31,27,75,15,15,0,0,0,0,25,71,6,,90,72,47,38,18,,Yes,,Yes,,60,No,100,90,43,0,"I know how to use a compass and could if I needed to, but I don't often need to use them.",No,Yes,,,,,,,,,,0,0,0,0,0,100,31,0,I forgot it was there and didn't remember where it was,No,,,,,,"Both, but the treadmill made it hard to be completely immersed in the virtual environment ",The treadmill was distracting and threw me off of the task and had me focusing on how to walk and trying to go faster
2022-04-18 12:03:48,2022-04-18 13:29:40,IP Address,128.227.188.116,100,5151,True,2022-04-18 13:29:40,R_1OAE5YulpzAp8ix,,,,,29.6138,-82.386,anonymous,EN,2043,14,5,2,31,21,,25,51,5,3,38,51,4,28,85,58,27,77,93,61,,32,65,29,6,25,,Yes,,Yes,,100,Yes,100,100,53,20,,Yes,No,93,7,85,84,0,95,99,86,,,,,,,,,,,No,,,,,,better in the virtual environment,
2022-04-18 13:30:29,2022-04-18 14:18:30,IP Address,128.227.188.116,100,2881,True,2022-04-18 14:18:30,R_2zGbE6g4gxxVhUT,,,,,29.6138,-82.386,anonymous,EN,2044,61,0,0,0,0,The walking was the hadest part,73,68,66,72,72,69,32,38,37,41,63,63,65,66,The experience was very cool,100,40,40,40,39,I had a tough time memorizing them,Yes,,Yes,,73,Yes,42,41,42,43,I would probably never use a compass,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,"Yes, everything was fine",no i do not
2022-04-18 15:13:15,2022-04-18 16:20:48,IP Address,128.227.188.116,100,4053,True,2022-04-18 16:20:49,R_1qZZ9ex5W1dYzHr,,,,,29.6138,-82.386,anonymous,EN,2045,85,5,0,25,10,Wearing the headset for too long can be exhausting,85,85,0,10,100,0,5,25,0,60,30,60,100,95,Nothing,100,100,75,55,55,Nothing,Yes,,Yes,,70,No,100,95,85,0,I am experienced in using a compass but I do not use it on a regular basis. I know how to use one if I need to.,Yes,No,20,0,10,80,15,100,100,20,Nothing,,,,,,,,,,Yes,70,By the third route,Maybe taking breaks between each route,I get motion sickness really easily so long periods of time with the headset on defintely is what caused it.,Yes I do.,Yes I did,"No, thank you!"
2022-04-19 11:53:28,2022-04-19 12:54:10,IP Address,128.227.188.116,100,3642,True,2022-04-19 12:54:11,R_tWo72l3EqlPWdBn,,,,,29.6138,-82.386,anonymous,EN,2046,85,70,25,90,100,Memorizing the names of the buildings,82,45,64,43,68,81,33,41,14,72,7,79,81,87,,81,58,44,42,29,,No,2,Yes,,76,Yes,100,100,95,62,"I grew up driving boats, flying planes, and riding trails so using a compass comes natural to me",Yes,No,75,69,78,63,57,41,61,60,,,,,,,,,,,No,,,,,,More oriented in the virtual environment,
2022-04-19 12:55:28,2022-04-19 14:28:05,IP Address,128.227.188.116,100,5557,True,2022-04-19 14:28:05,R_6PEOZYlWk3ObW4V,,,,,29.6138,-82.386,anonymous,EN,2047,1,1,0,0,1,The walking was slow.,14,54,9,6,53,42,41,78,0,4,0,56,54,66,Nothing,95,53,23,38,23,,Yes,,Yes,,68,Yes,94,90,54,3,I know how to use a compass but do not use it daily.,Yes,No,60,41,65,53,46,77,63,42,,,,,,,,,,,No,,,,,,Sometimes,"Nope, thanks!"
2022-04-20 09:50:57,2022-04-20 11:06:20,IP Address,128.227.188.116,100,4522,True,2022-04-20 11:06:20,R_UGansNABpRKgv6h,,,,,29.6138,-82.386,anonymous,EN,2048,70,5,10,55,55,,55,80,55,5,65,0,0,30,0,45,0,45,90,100,,100,90,67,82,95,"I forgot that an unlabeled building I paid attention to across from the Harvey House was not the museum, and accidentally pointed there until I was at the location of the Harvey House, where I realized my mistake.",Yes,,Yes,,85,Yes,60,5,15,0,I never use a compass.,No,Yes,,,,,,,,,,60,5,45,80,20,76,75,35,"I saw the mountain range in the beginning, distinctly noted it, forgot to use it, and then tried remember its location once brought up in tasks.",No,,,,,,"Virtual environment, the direction of the researcher's voice startled me a little.",
2022-04-20 11:07:31,2022-04-20 12:16:07,IP Address,128.227.188.116,100,4115,True,2022-04-20 12:16:07,R_3MgIlbL2ciGKjUc,,,,,29.6138,-82.386,anonymous,EN,2049,66,24,20,30,30,"I felt that the experiment and walking process was a bit and tiring which became distracting. Using the VR system for a long time without having much experience made it challenging. I did develop a headache towards the end. ",83,82,20,22,22,80,21,30,19,30,20,40,75,61,,70,51,35,34,34,,No,1,No,,81,Yes,19,19,18,17,I have little to no experience in using a compass.,No,Yes,,,,,,,,,,59,60,59,17,26,37,38,38,,Yes,60,"I started to feel dizzy towards the end of the experiment. When I had to identify building and the location kept switching was the worst part for my dizziness. ","I would provide breaks during the experiment to prevent motion sickness. ",Yes,"I normally get carsick. ","The virtual environment ",
2022-06-30 08:07:10,2022-06-30 09:27:54,IP Address,128.227.188.116,100,4844,True,2022-06-30 09:27:54,R_PYQAbQGg6gD9COB,,,,,29.6503,-82.3486,anonymous,EN,2050,67,0,64,25,34,"'-The screen going blank
-Trying to remember the names of the buildings while I was learning where the paths connect",63,100,0,0,100,0,0,34,34,34,13,76,100,75,"'-i wasnt able to walk as fast as i do in real life
-the VR headset could get a little blurry
-the screen blanked and was distracting",100,70,40,40,13,'-i am just not good with directions in general,No,2,Yes,,25,Yes,80,40,20,0,"'-i do not use a compass on a normal basis
-was taught in school to use it to find basic direction",No,Yes,,,,,,,,,,20,60,40,25,14,73,100,15,'-just as a location along the way,Yes,20,'-taking turns and changing direction,-,'-just from disorientation,yes,"'-yes, to the virtual environment",-
2022-06-30 09:28:54,2022-06-30 10:34:31,IP Address,128.227.188.116,100,3937,True,2022-06-30 10:34:32,R_2tEF6JE8LIUWCaX,,,,,29.6503,-82.3486,anonymous,EN,2051,10,5,7,7,7,,51,68,21,29,70,18,62,86,73,87,22,74,85,41,"The constant blanking of the VR headset made it very hard to find my heading at times. I understand the concept of no-go zones in an virtual open-world, but this made the immersion less than ideal in some situations.",81,86,64,35,56,,No,4-5,Yes,,84,Yes,71,79,42,24,Google maps,Yes,No,79,77,73,35,10,75,73,58,,,,,,,,,,,No,,,,,,I felt pretty oriented with the real world and the virtual world.,
2022-07-01 06:32:53,2022-07-01 08:04:14,IP Address,128.227.188.116,100,5481,True,2022-07-01 08:04:15,R_33v5jWUD9duUkAN,,,,,29.6503,-82.3486,anonymous,EN,2052,60,0,0,0,0,"Nothing was difficult. The red arrows were very helping along with the signs. The only difficult part was mapping out the places in the end. ",60,43,44,60,83,0,51,50,30,30,0,100,100,100,"Everything was great! :) Personally I just don't have that great sense of direction. ",100,100,25,0,0,"Nothing within the experiment effected my performance. Again, I just think I lacked in my own ability to do the ending tests.",No,5,Yes,,70,Yes,25,0,0,0,"I am not experienced at all in using a compass and I actually find it very confusing. ",No,Yes,,,,,,,,,,0,0,0,0,0,100,0,0,,No,,,,,,I felt oriented in the virtual environment.,
2022-07-01 08:06:14,2022-07-01 09:20:42,IP Address,128.227.188.116,100,4467,True,2022-07-01 09:20:42,R_3HHo47u52XD173U,,,,,29.6503,-82.3486,anonymous,EN,2053,40,9,8,84,63,"the vr was fuzzy and made it hard to focus on the task at hand ",56,91,21,6,93,5,10,37,76,43,28,36,73,33,,93,45,16,4,15,,Yes,,Yes,,29,No,59,18,15,6,"I am not very skilled at using a compass. If i had to use a compass, I would get lost.",Yes,No,34,34,5,59,35,81,100,60,,,,,,,,,,,Yes,67,walking and changing direction. The VR is fuzzy so it is hard to focus,"take breaks inbetween the different trials or make the maps smaller ",I think the VR and constant movement made me dizzy,"Yes, i am prone to getting motion sick on planes and even cars. This feeling was not new, but the VR and treadmill were. ","I was oriented to the VR, I had no idea were I was in terms of the room  that i was physically in",I think that the directions were clear and very easy to follow
2022-07-01 09:49:56,2022-07-01 11:04:13,IP Address,128.227.188.116,100,4456,True,2022-07-01 11:19:15,R_ZxfCvx165Tx4EiR,,,,,29.6503,-82.3486,anonymous,EN,2054,100,30,5,70,30,,74,39,38,73,98,0,8,0,84,16,87,14,67,23,,100,17,19,8,8,,Yes,,Yes,,0,No,0,0,0,0,,No,Yes,,,,,,,,,,8,0,12,13,11,8,99,15,"I did not use it really much. ",Yes,63,Towards the 2nd walking task.,"I should have worn a more flexible outfit since i wore a dress it was harder to move and I was walking in a similar position. ","Exertion, I dislike to walk to places and if I do, it takes me a while to get there.  ","Yes, I get carsick and airsick a lot if they keep swerving or the plane moves in a bunch of different directions at time. ","Neither, I am still not oriented with both environments. ","I really like this experiment as you created a virtual world but it is not something that interests me. "
2022-07-01 11:05:24,2022-07-01 13:51:27,IP Address,128.227.188.116,100,9962,True,2022-07-01 13:51:27,R_2ruLRrwLFY69pLy,,,,,29.6503,-82.3486,anonymous,EN,2056,40,19,10,20,20,room was very warm and headset did not feel very secure,70,80,0,65,40,65,0,30,4,15,5,51,87,51,,100,80,30,25,55,,No,3,Yes,,55,No,100,60,60,0,I was a girlscout growing up and learned from that but I use east and west (based on the sun) as my reference points but I do not frequently use a compass,No,Yes,,,,,,,,,,20,10,20,90,0,70,85,25,,Yes,30,during the pointing,"I'd probably take a break in the middle, but I didn't want to mess up the experiment so i just breathed a little extra",Exertion in the virtual environment,yes,I definitely felt more oriented in the world I was in and kept trying to compare the direction I was facing in real life to where the buildings were located in the virtual world but the virtual environment was very disorienting,no
2022-07-01 13:52:27,2022-07-01 15:32:58,IP Address,128.227.188.116,100,6030,True,2022-07-01 15:32:58,R_1rcaBy6GqFcdaTu,,,,,29.6503,-82.3486,anonymous,EN,2057,15,0,70,70,70,The details of each building and the overall environment distracted me from the directions and relative location of each building. The trees as well as the benches made it difficult to remember where each building was relative to each other.,65,51,25,75,100,0,0,85,25,51,20,100,100,40,"Walking pace was a little inconsistent and not as fast as I usually walk. ",100,71,0,30,30,"Locations and directions got confusing throughout the activity. The more paths I walked the harder it got. ",No,4,Yes,,75,Yes,100,100,51,80,"The only compass I use is on my phone but I do not use it often. If I need to go somewhere I typically use apple maps on my phone. ",Yes,No,0,0,20,0,100,100,100,29,"I checked it once in a while but way after I forgot which direction I was going. ",,,,,,,,,,No,,,,,,"Room I was in. ","I enjoyed participating. "
2022-07-02 07:52:46,2022-07-02 09:33:22,IP Address,128.227.188.116,100,6036,True,2022-07-02 09:33:22,R_Wvbq1MWiWbZNs6R,,,,,29.6503,-82.3486,anonymous,EN,2058,10,0,0,0,5,,85,65,30,75,30,83,13,76,50,50,71,100,100,100,,100,70,80,25,25,,Yes,,Yes,,100,Yes,100,20,70,90,I use cardinal directions when giving directions to another person and when comparing the location of an end point from a starting point.,No,Yes,,,,,,,,,,15,5,27,87,6,97,92,20,,No,,,,,,virtual environment,
2022-07-02 09:34:09,2022-07-02 11:14:23,IP Address,128.227.188.116,100,6013,True,2022-07-02 11:14:23,R_vP1VaJHoXIhU5AB,,,,,29.6503,-82.3486,anonymous,EN,2059,60,9,9,30,30,,70,60,42,10,70,0,0,48,0,12,2,52,53,40,,91,70,17,57,3,,Yes,,Yes,,60,Yes,9,0,0,0,I am extremely inexperienced using a compass and I do not use them on a regular basis.,Yes,No,54,0,52,7,91,92,93,20,,,,,,,,,,,Yes,61,"When I had to change direction in the world it was a bit disorienting. ","Perhaps making the steps match the distance travelled. I felt i was taking large steps but only moving minimally. ","I think I am predisposed to motion sickness, so in combination with the exertion in the VR environment I think caused it. ",Yes,"I was very focused on the virtual environment, I never really knew exactly where I was in the physical room.",
2022-07-05 07:04:29,2022-07-05 08:30:45,IP Address,128.227.188.116,100,5176,True,2022-07-05 08:30:46,R_VW6RtIE4VVfc9zP,,,,,29.6503,-82.3486,anonymous,EN,2060,71,32,60,58,34,,82,64,69,14,33,83,22,27,28,21,30,41,39,82,I tightened the headset too tight.,91,75,75,66,72,,Yes,,Yes,,63,Yes,13,14,16,14,,No,Yes,,,,,,,,,,79,20,82,78,58,59,72,89,,No,,,,,,I felt oriented in the virtual environment.,
2022-07-05 08:33:19,2022-07-05 09:50:21,IP Address,128.227.188.116,100,4622,True,2022-07-05 09:50:22,R_bOwsmTcxdtsJ7wJ,,,,,29.6503,-82.3486,anonymous,EN,2061,10,0,19,45,36,,70,80,19,55,80,20,0,75,65,20,20,85,90,100,,100,80,25,35,20,,No,1-2,Yes,,70,Yes,100,100,70,21,"I know north, south, west, and east, and how to tell north by the sun. If I know that something is north then I'll follow north to it. I mainly use the compass on my apple maps.",Yes,No,10,40,10,15,80,30,75,20,,,,,,,,,,,No,,,,,,Yes.,
2022-07-05 09:55:10,2022-07-05 12:01:27,IP Address,128.227.188.116,100,7576,True,2022-07-05 12:01:27,R_2xFUR0jOY1V4oG0,,,,,29.6503,-82.3486,anonymous,EN,2062,70,5,10,19,10,,60,80,50,50,50,51,50,20,20,20,20,75,90,90,,100,30,30,30,60,,Yes,,Yes,,85,Yes,20,20,21,10,"I know the basics on how to use a compass and how it work to find direction. However, I've never used one  to find directions.",No,Yes,,,,,,,,,,10,20,20,30,10,60,75,30,,No,,,,,,The virtual environment was immersive and felt authentic. The walking pace and motion was distracting and made it feel less real.,
2022-07-05 12:02:18,2022-07-05 13:11:42,IP Address,128.227.188.116,100,4163,True,2022-07-05 13:11:43,R_2Y5Mt3OD383rdgV,,,,,29.6503,-82.3486,anonymous,EN,2063,10,20,0,0,0,,70,70,0,0,75,16,0,85,0,0,0,100,100,39,,100,70,18,0,0,,No,1,Yes,,80,Yes,100,80,0,0,,Yes,No,20,0,5,100,0,100,100,0,,,,,,,,,,,Yes,40,Towards the end,Have a halfway break from walking,Yes,Yes,Virtual environment,no
2022-07-05 13:12:21,2022-07-05 14:34:11,IP Address,128.227.188.116,100,4909,True,2022-07-05 14:34:11,R_1QlmFcisHPasyEh,,,,,29.6503,-82.3486,anonymous,EN,2064,63,48,25,58,12,"The invisible, blocked paths made it slightly difficult to associate buildings with another",59,35,16,85,61,39,71,44,26,20,26,67,80,45,The bottom part of the VR headset was slightly blurry,84,37,30,8,13,No,No,3,Yes,,63,Yes,62,23,53,9,I have never used a compass to get to another location. The only time I have used one was when I was being taught.,No,Yes,,,,,,,,,,27,46,55,58,45,50,67,30,I tried to remember that I could see the mountain range clearer from the second path compared to the first.,No,,,,,,"I felt oriented to the virtual environment. Oftentimes, I could not remember which direction I was facing in the room I was in.",No
2022-07-05 14:35:17,2022-07-05 15:37:46,IP Address,128.227.188.116,100,3749,True,2022-07-05 15:37:47,R_1opbU0gVZNmpkdT,,,,,29.6503,-82.3486,anonymous,EN,2065,78,31,37,64,27,,20,84,38,50,44,48,57,16,13,7,13,32,74,42,,80,39,32,13,19,,No,,Yes,,57,Yes,86,72,81,45,,Yes,No,55,0,65,40,48,69,86,42,,,,,,,,,,,No,,,,,,Virtual environment,
2022-07-07 07:21:58,2022-07-07 08:27:21,IP Address,128.227.188.116,100,3923,True,2022-07-07 08:27:22,R_1FIc2H2eCbL9C0x,,,,,29.6503,-82.3486,anonymous,EN,2066,80,11,15,20,20,"Felt slightly fatigued toward the end because of the physical strain of the walking, as well as slightly motion sick.",25,50,40,65,35,70,30,15,55,10,40,10,55,35,"Weight of the headset added a bit of dizziness. ",80,70,45,50,55,,No,3,Yes,,85,Yes,65,35,25,20,Not experienced using a compass.,No,Yes,,,,,,,,,,75,75,70,80,65,70,20,55,,Yes,70,Toward the end of the experiment.,"Headset was very tight, images were slightly out of focus.",Both.,I do not easily get motion sick.,The virtual environment.,
2022-07-11 07:22:07,2022-07-11 08:51:41,IP Address,128.227.188.116,100,5374,True,2022-07-11 08:51:42,R_2641rsUqU3Qyus6,,,,,29.6503,-82.3486,anonymous,EN,2067,60,35,30,60,40,,25,20,30,70,90,20,20,50,75,40,10,65,80,70,The lack of ambient sound,100,95,60,62,25,,No,4,Yes,,100,Yes,100,20,60,0,I have used compasses in video games as well as with virtual maps such as Google maps and Waze. I use the compass in these applications in order to better visualize the direction I need to go.,Yes,No,75,0,60,55,20,85,100,35,,,,,,,,,,,No,,,,,,I felt more oriented to the virtual environment,
2022-07-11 10:50:19,2022-07-11 11:51:23,IP Address,128.227.188.116,100,3664,True,2022-07-11 11:51:24,R_1eKmfhFLXJxUrPC,,,,,29.6503,-82.3486,anonymous,EN,2068,10,0,0,0,0,"I experienced slight motion sickness (as stated in the consent form), but it was not enough to interfere with my ability to stay on task.",85,90,10,70,30,70,0,75,90,90,70,100,100,100,"Probably obvious, but the graphics.",100,100,100,85,95,none.,Yes,,Yes,,100,Yes,100,75,75,60,"I do not use compasses on a regular basis, but I know how to use one well. I am able to find the Northern direction, and once I know that, I can orient myself properly.",No,Yes,,,,,,,,,,100,100,100,100,95,0,100,90,"I used the mountain range solely as an indicator, similar to that of ""North"" on a compass.",Yes,15,"I mostly felt sick or dizzy whenever the movements in VR did not match my physical movements. For example, when I hit an invisible barrier and slid against it, I felt dizzy after a few times.",I don't think (my) motion sick could be prevented because I think it is just our body physically moving one way and our eyes/brain perceiving a motion that is slightly different.,"Perhaps a bit of disorientation, but I don't think I felt too disoriented during the experiment. I think my motion sickness was caused mostly by a slight mismatch in visual cues and physical motion.",I don't get carsick usually. The only time I experience motion sickness is on 3D rides at amusement parks (Universal for example).,"Towards the beginning of the experiment, I was aware of what direction in the room I was facing. However, as I focused on memorizing the layout of the virtual map and the names of buildings, I started to become more oriented to the virtual environment.",I really enjoyed this experience and found this study very interesting.
2022-07-12 08:57:27,2022-07-12 10:35:22,IP Address,128.227.188.116,100,5874,True,2022-07-12 10:35:22,R_2aOYE0DVNf1io38,,,,,29.6503,-82.3486,anonymous,EN,2069,60,30,10,20,20,,10,50,50,50,50,50,50,41,40,0,0,90,90,50,,75,100,50,25,30,"The first time I was comparing how the two settings were located compared to each other, I instantly became confused for the path it took me I was expecting to be the same path I took to get there. Being I thought that, and I quickly realized it was not the same path, I thought it was trying to throw me off which then made it difficult to compare the two settings' locations. I had not realized my error until I was on the second path it took me on to compare the the settings' locations. This made the pointing task and birds eye's view portions difficult when comparing the two settings.",Yes,,Yes,,50,Yes,80,55,45,70,,Yes,No,10,0,10,10,90,90,90,15,,,,,,,,,,,No,,,,,,Equal,
2022-07-13 06:50:04,2022-07-13 08:01:51,IP Address,128.227.188.116,100,4307,True,2022-07-13 08:01:51,R_2wvN0JpaONMaSq3,,,,,29.6503,-82.3486,anonymous,EN,2070,81,0,0,0,0,The walking was very slow paced. It was like taking multiple half steps.,51,100,0,0,51,51,52,70,0,0,0,70,71,65,,100,46,52,20,20,,No,,Yes,,30,Yes,50,30,0,0,I have only used a compass on two occasions when camping,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,virtual environment,
2022-07-15 08:44:13,2022-07-15 09:42:03,IP Address,128.227.188.116,100,3470,True,2022-07-15 09:42:03,R_qXEkxbqGrwMBfI5,,,,,29.6503,-82.3486,anonymous,EN,2072,70,30,0,30,30,walking took too long,70,80,30,30,60,30,30,20,0,30,0,60,70,40,,100,40,70,60,70,,No,3,Yes,,100,Yes,60,30,40,60,the compass in google maps is the only experience I have with them,No,Yes,,,,,,,,,,0,0,0,10,0,100,60,0,"I only saw the mountain range in the beginning and did not notice it afterwards ",No,,,,,,"Only during the beginning ",
2022-07-18 08:47:15,2022-07-18 09:47:34,IP Address,128.227.188.116,100,3619,True,2022-07-18 09:47:35,R_RgkKJnQQy7ZQxBT,,,,,29.6475,-82.404,anonymous,EN,2073,80,75,55,70,85,trying to remember where everything was,75,87,40,52,30,70,30,40,60,10,15,40,100,80,,65,60,25,6,35,,Yes,,Yes,,78,Yes,60,36,40,15,I don't ever use a compass in my day to day life.,Yes,Yes,80,38,54,73,27,73,63,36,,55,62,41,38,27,67,35,29,,No,,,,,,the virtual environment,
2022-07-19 08:39:43,2022-07-19 09:58:39,IP Address,128.227.188.116,100,4735,True,2022-07-19 09:58:39,R_1n9ke4nWpg8HOtT,,,,,29.6475,-82.404,anonymous,EN,2074,20,10,20,25,30,I was thinking about which way in the room I was facing,85,90,10,10,50,50,50,40,45,20,20,75,85,85,,100,80,65,75,85,,Yes,,Yes,,80,Yes,80,10,25,0,Never really used one,No,Yes,,,,,,,,,,80,100,15,70,20,20,80,80,,No,,,,,,Both,
2022-07-19 10:01:23,2022-07-19 11:35:00,IP Address,128.227.188.116,100,5616,True,2022-07-19 11:35:00,R_eEtE5BLV6Vpk3nj,,,,,29.6475,-82.404,anonymous,EN,2075,60,20,30,40,20,Nothing.,40,60,30,40,40,20,60,20,20,10,10,60,70,70,Nothing.,80,70,40,50,65,Nothing.,No,4,Yes,,25,No,85,65,60,30,I have used a compass before and understand the basic function and mechanics of this tool but I do not use a compass to help me with directions in my daily life.,Yes,No,40,60,40,40,60,70,80,70,None.,,,,,,,,,,Yes,30,When looking around in a circular motion to observe the scene around me.,Nothing can really be changed to prevent motion sickness.,Motion sickness for me largely resulted from the disorientation brought on by the virtual environment.,I frequently get carsick and/or seasick.,I felt oriented to the virtual environment because I could not see the room outside of the virtual reality headset.,None.
2022-07-19 11:35:38,2022-07-19 12:54:44,IP Address,128.227.188.116,100,4745,True,2022-07-19 12:54:45,R_bsmnXX5TUJWXS49,,,,,29.6475,-82.404,anonymous,EN,2076,80,25,8,5,57,"Outside noise, e.g. shoes scraping, air conditioner, people outside. ",100,61,20,54,50,50,50,28,27,27,26,90,90,90,,100,71,32,5,28,,No,1,Yes,,100,Yes,86,61,61,0,"I have pretty good experience using a compass and use them while driving. I like to use south as my reference point because most of my childhood I would travel south to get places. ",No,Yes,,,,,,,,,,6,6,6,6,6,100,100,29,,No,,,,,,"Completly lost orentation to the real world as I gained orentation in VR. ",
2022-07-19 12:55:30,2022-07-19 15:58:53,IP Address,128.227.188.116,100,11002,True,2022-07-19 15:58:53,R_1rPwpLDXFhzfX9I,,,,,29.6475,-82.404,anonymous,EN,2077,30,30,40,40,45,The headset just felt very warm after wearing it for an extended period of time. This made it more difficult to focus on the task at hand.,55,55,50,50,60,40,40,70,20,30,24,40,75,60,Felt slightly dizzy near the end of the experience but that was about it.,80,75,60,65,65,,Yes,,Yes,,60,No,70,60,40,15,"I have used a compass when hiking and camping, but it is not a tool that I use on a regular basis to navigate.",Yes,No,75,0,60,65,15,75,70,60,,,,,,,,,,,Yes,25,Near the end of the immersive experience after having the headset on for a while,I would add breaks in between each section,Disorientation or possibly the perspective of the environment.,No,I felt oriented to the room I was in,
